Area,MTU,DateTime,Biomass - Actual Aggregated [MW],Fossil Coal-derived gas - Actual Aggregated [MW],Fossil Gas - Actual Aggregated [MW],Fossil Oil shale - Actual Aggregated [MW],Fossil Peat - Actual Aggregated [MW],Hydro Run-of-river and poundage - Actual Aggregated [MW],Other - Actual Aggregated [MW],Other renewable - Actual Aggregated [MW],Solar - Actual Aggregated [MW],Waste - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
BZN|EE,01.01.2024 00:00 - 01.01.2024 01:00 (UTC),01.01.2024 00:00,49,50,6,158,0,1,0,1,0,6,31
BZN|EE,01.01.2024 01:00 - 01.01.2024 02:00 (UTC),01.01.2024 01:00,50,52,6,118,0,1,0,1,0,6,45
BZN|EE,01.01.2024 02:00 - 01.01.2024 03:00 (UTC),01.01.2024 02:00,48,53,6,116,0,1,0,1,0,6,43
BZN|EE,01.01.2024 03:00 - 01.01.2024 04:00 (UTC),01.01.2024 03:00,49,53,6,132,0,1,0,1,0,6,47
BZN|EE,01.01.2024 04:00 - 01.01.2024 05:00 (UTC),01.01.2024 04:00,49,51,6,122,0,1,0,1,0,8,61
BZN|EE,01.01.2024 05:00 - 01.01.2024 06:00 (UTC),01.01.2024 05:00,50,51,6,116,0,1,0,1,0,14,73
BZN|EE,01.01.2024 06:00 - 01.01.2024 07:00 (UTC),01.01.2024 06:00,49,48,6,115,0,1,0,1,0,15,80
BZN|EE,01.01.2024 07:00 - 01.01.2024 08:00 (UTC),01.01.2024 07:00,46,47,6,114,0,1,0,1,2,15,77
BZN|EE,01.01.2024 08:00 - 01.01.2024 09:00 (UTC),01.01.2024 08:00,43,47,6,114,0,1,0,1,11,16,79
BZN|EE,01.01.2024 09:00 - 01.01.2024 10:00 (UTC),01.01.2024 09:00,39,47,6,115,0,1,0,1,22,15,77
BZN|EE,01.01.2024 10:00 - 01.01.2024 11:00 (UTC),01.01.2024 10:00,45,48,6,118,0,1,0,1,27,16,78
BZN|EE,01.01.2024 11:00 - 01.01.2024 12:00 (UTC),01.01.2024 11:00,53,45,6,120,0,1,0,1,22,16,78
BZN|EE,01.01.2024 12:00 - 01.01.2024 13:00 (UTC),01.01.2024 12:00,55,43,6,116,0,1,0,1,9,15,96
BZN|EE,01.01.2024 13:00 - 01.01.2024 14:00 (UTC),01.01.2024 13:00,56,41,6,123,0,1,0,1,2,15,112
BZN|EE,01.01.2024 14:00 - 01.01.2024 15:00 (UTC),01.01.2024 14:00,58,39,6,129,0,1,0,1,1,14,118
BZN|EE,01.01.2024 15:00 - 01.01.2024 16:00 (UTC),01.01.2024 15:00,59,40,6,141,0,1,0,1,1,12,144
BZN|EE,01.01.2024 16:00 - 01.01.2024 17:00 (UTC),01.01.2024 16:00,61,41,6,123,0,1,0,1,0,10,181
BZN|EE,01.01.2024 17:00 - 01.01.2024 18:00 (UTC),01.01.2024 17:00,62,38,6,154,0,1,0,1,0,9,175
BZN|EE,01.01.2024 18:00 - 01.01.2024 19:00 (UTC),01.01.2024 18:00,62,35,5,140,0,1,0,1,0,8,167
BZN|EE,01.01.2024 19:00 - 01.01.2024 20:00 (UTC),01.01.2024 19:00,62,32,6,131,0,1,0,1,0,6,157
BZN|EE,01.01.2024 20:00 - 01.01.2024 21:00 (UTC),01.01.2024 20:00,62,33,6,138,0,1,0,1,0,5,162
BZN|EE,01.01.2024 21:00 - 01.01.2024 22:00 (UTC),01.01.2024 21:00,62,34,4,142,0,1,0,1,0,5,171
BZN|EE,01.01.2024 22:00 - 01.01.2024 23:00 (UTC),01.01.2024 22:00,62,33,0,135,0,1,0,1,0,4,186
BZN|EE,01.01.2024 23:00 - 02.01.2024 00:00 (UTC),01.01.2024 23:00,62,33,0,150,0,1,0,1,0,4,183
BZN|EE,02.01.2024 00:00 - 02.01.2024 01:00 (UTC),02.01.2024 00:00,60,33,3,154,0,1,0,1,0,5,202
BZN|EE,02.01.2024 01:00 - 02.01.2024 02:00 (UTC),02.01.2024 01:00,61,34,6,182,0,1,0,1,0,4,189
BZN|EE,02.01.2024 02:00 - 02.01.2024 03:00 (UTC),02.01.2024 02:00,65,34,6,196,0,1,0,1,0,4,176
BZN|EE,02.01.2024 03:00 - 02.01.2024 04:00 (UTC),02.01.2024 03:00,69,34,6,289,0,1,0,1,0,4,179
BZN|EE,02.01.2024 04:00 - 02.01.2024 05:00 (UTC),02.01.2024 04:00,74,34,6,395,0,1,0,1,0,4,182
BZN|EE,02.01.2024 05:00 - 02.01.2024 06:00 (UTC),02.01.2024 05:00,79,35,6,464,0,1,0,1,0,4,196
BZN|EE,02.01.2024 06:00 - 02.01.2024 07:00 (UTC),02.01.2024 06:00,78,34,6,473,0,1,0,1,1,4,195
