MTU,Solar - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
26.03.2023 21:00 - 26.03.2023 22:00 (UTC),0,101
26.03.2023 22:00 - 26.03.2023 23:00 (UTC),0,99
26.03.2023 23:00 - 27.03.2023 00:00 (UTC),0,93
27.03.2023 00:00 - 27.03.2023 01:00 (UTC),0,82
27.03.2023 01:00 - 27.03.2023 02:00 (UTC),0,78
27.03.2023 02:00 - 27.03.2023 03:00 (UTC),0,71
27.03.2023 03:00 - 27.03.2023 04:00 (UTC),0,67
27.03.2023 04:00 - 27.03.2023 05:00 (UTC),3,64
27.03.2023 05:00 - 27.03.2023 06:00 (UTC),13,66
27.03.2023 06:00 - 27.03.2023 07:00 (UTC),34,71
27.03.2023 07:00 - 27.03.2023 08:00 (UTC),52,66
27.03.2023 08:00 - 27.03.2023 09:00 (UTC),70,68
27.03.2023 09:00 - 27.03.2023 10:00 (UTC),96,69
27.03.2023 10:00 - 27.03.2023 11:00 (UTC),123,95
27.03.2023 11:00 - 27.03.2023 12:00 (UTC),139,101
27.03.2023 12:00 - 27.03.2023 13:00 (UTC),128,118
27.03.2023 13:00 - 27.03.2023 14:00 (UTC),92,140
27.03.2023 14:00 - 27.03.2023 15:00 (UTC),60,169
27.03.2023 15:00 - 27.03.2023 16:00 (UTC),28,148
27.03.2023 16:00 - 27.03.2023 17:00 (UTC),4,140
27.03.2023 17:00 - 27.03.2023 18:00 (UTC),1,102
27.03.2023 18:00 - 27.03.2023 19:00 (UTC),0,79
27.03.2023 19:00 - 27.03.2023 20:00 (UTC),0,70
27.03.2023 20:00 - 27.03.2023 21:00 (UTC),0,61
