Station_n,Station,Year,Month,Day,Time_UTC,DateTime,H_avg_radiation,Air_temperature,10min_avg_wind_speed,Hourly_max_wind_speed
1,Narva,2024,1,1,00:00,2024-01-01T00:00,-1,-8.4,1.4,2.8
1,Narva,2024,1,1,01:00,2024-01-01T01:00,-1,-9.0,1.8,3.7
1,Narva,2024,1,1,02:00,2024-01-01T02:00,-1,-8.4,2.3,5.1
1,Narva,2024,1,1,03:00,2024-01-01T03:00,-1,-9.3,1.9,4.2
1,Narva,2024,1,1,04:00,2024-01-01T04:00,-1,-10.1,1.7,4
1,Narva,2024,1,1,05:00,2024-01-01T05:00,-1,-12.2,1.4,3.3
1,Narva,2024,1,1,06:00,2024-01-01T06:00,-1,-13.3,2.5,3.2
1,Narva,2024,1,1,07:00,2024-01-01T07:00,-1,-13.6,2.3,4
1,Narva,2024,1,1,08:00,2024-01-01T08:00,17,-14.5,2,4.1
1,Narva,2024,1,1,09:00,2024-01-01T09:00,71,-14.1,1.8,3.7
1,Narva,2024,1,1,10:00,2024-01-01T10:00,109,-13.4,2.5,4.4
1,Narva,2024,1,1,11:00,2024-01-01T11:00,116,-13.3,2.9,5.2
1,Narva,2024,1,1,12:00,2024-01-01T12:00,88,-14.0,3.2,4.8
1,Narva,2024,1,1,13:00,2024-01-01T13:00,32,-14.5,2.6,5.4
1,Narva,2024,1,1,14:00,2024-01-01T14:00,-1,-15.3,1.5,3.7
1,Narva,2024,1,1,15:00,2024-01-01T15:00,-1,-16.1,2.5,3.7
1,Narva,2024,1,1,16:00,2024-01-01T16:00,-1,-17.0,2.7,4.5
1,Narva,2024,1,1,17:00,2024-01-01T17:00,-1,-18.0,2.8,6.9
1,Narva,2024,1,1,18:00,2024-01-01T18:00,-1,-19.2,1.8,5.3
1,Narva,2024,1,1,19:00,2024-01-01T19:00,-1,-19.5,2.7,4.2
1,Narva,2024,1,1,20:00,2024-01-01T20:00,-1,-20.1,2.7,5.1
1,Narva,2024,1,1,21:00,2024-01-01T21:00,-1,-20.5,2.1,5.2
1,Narva,2024,1,1,22:00,2024-01-01T22:00,-1,-21.2,1.8,3.5
1,Narva,2024,1,1,23:00,2024-01-01T23:00,-1,-21.4,1.5,3.5
1,Narva,2024,1,2,00:00,2024-01-02T00:00,-1,-22.4,2.8,4.2
1,Narva,2024,1,2,01:00,2024-01-02T01:00,-1,-22.0,2.7,5
1,Narva,2024,1,2,02:00,2024-01-02T02:00,-1,-21.5,3.7,5.8
1,Narva,2024,1,2,03:00,2024-01-02T03:00,-1,-23.2,1.5,5.9
1,Narva,2024,1,2,04:00,2024-01-02T04:00,-1,-23.8,1.3,2
1,Narva,2024,1,2,05:00,2024-01-02T05:00,-1,-24.3,0.8,2.3
1,Narva,2024,1,2,06:00,2024-01-02T06:00,-1,-23.4,1.2,1.9
1,Narva,2024,1,2,07:00,2024-01-02T07:00,-1,-24.2,1.8,2
1,Narva,2024,1,2,08:00,2024-01-02T08:00,18,-24.7,0.6,2.6
1,Narva,2024,1,2,09:00,2024-01-02T09:00,70,-22.2,0.6,1.7
1,Narva,2024,1,2,10:00,2024-01-02T10:00,107,-22.0,1.4,1.7
1,Narva,2024,1,2,11:00,2024-01-02T11:00,116,-20.7,1.5,3
1,Narva,2024,1,2,12:00,2024-01-02T12:00,90,-20.8,1.5,2.5
1,Narva,2024,1,2,13:00,2024-01-02T13:00,35,-20.6,1.7,2.3
1,Narva,2024,1,2,14:00,2024-01-02T14:00,0,-21.2,1.3,2.1
1,Narva,2024,1,2,15:00,2024-01-02T15:00,-1,-25.9,0.8,2.1
1,Narva,2024,1,2,16:00,2024-01-02T16:00,-1,-24.3,0.8,1.3
1,Narva,2024,1,2,17:00,2024-01-02T17:00,-1,-24.3,1.6,2.1
1,Narva,2024,1,2,18:00,2024-01-02T18:00,-1,-22.3,2.7,3.2
1,Narva,2024,1,2,19:00,2024-01-02T19:00,-1,-24.1,1.2,3
1,Narva,2024,1,2,20:00,2024-01-02T20:00,-1,-23.8,1.6,2.5
1,Narva,2024,1,2,21:00,2024-01-02T21:00,-1,-24.1,2.3,3.3
1,Narva,2024,1,2,22:00,2024-01-02T22:00,-1,-24.2,2.2,3.4
1,Narva,2024,1,2,23:00,2024-01-02T23:00,-1,-24.7,2.4,3.3
1,Narva,2024,1,3,00:00,2024-01-03T00:00,-1,-26.6,1.2,2.8
1,Narva,2024,1,3,01:00,2024-01-03T01:00,-1,-25.2,1.9,3
1,Narva,2024,1,3,02:00,2024-01-03T02:00,-1,-24.6,2.2,3.7
1,Narva,2024,1,3,03:00,2024-01-03T03:00,-1,-24.8,2,3.3
1,Narva,2024,1,3,04:00,2024-01-03T04:00,-1,-24.8,1.6,3.8
1,Narva,2024,1,3,05:00,2024-01-03T05:00,-1,-26.2,1.7,3.3
1,Narva,2024,1,3,06:00,2024-01-03T06:00,-1,-24.8,2.2,6.5
1,Narva,2024,1,3,07:00,2024-01-03T07:00,-1,-26.1,2.4,3.7
1,Narva,2024,1,3,08:00,2024-01-03T08:00,22,-25.3,2,2.9
1,Narva,2024,1,3,09:00,2024-01-03T09:00,79,-23.9,2.8,4.6
1,Narva,2024,1,3,10:00,2024-01-03T10:00,119,-23.3,1.9,3.9
1,Narva,2024,1,3,11:00,2024-01-03T11:00,124,-22.0,1.6,3.4
1,Narva,2024,1,3,12:00,2024-01-03T12:00,96,-21.5,2.1,3.9
1,Narva,2024,1,3,13:00,2024-01-03T13:00,41,-21.7,2.6,4
1,Narva,2024,1,3,14:00,2024-01-03T14:00,1,-22.3,3.2,4.6
1,Narva,2024,1,3,15:00,2024-01-03T15:00,-1,-22.7,3,6.2
1,Narva,2024,1,3,16:00,2024-01-03T16:00,-1,-23.9,2.7,5.9
1,Narva,2024,1,3,17:00,2024-01-03T17:00,-1,-24.5,2.4,4.3
1,Narva,2024,1,3,18:00,2024-01-03T18:00,-1,-24.7,2.5,5.1
1,Narva,2024,1,3,19:00,2024-01-03T19:00,-1,-24.9,2.5,4.7
1,Narva,2024,1,3,20:00,2024-01-03T20:00,-1,-24.6,3.1,6
1,Narva,2024,1,3,21:00,2024-01-03T21:00,-1,-25.0,2.7,6.1
1,Narva,2024,1,3,22:00,2024-01-03T22:00,-1,-25.3,2.1,3.7
1,Narva,2024,1,3,23:00,2024-01-03T23:00,-1,-25.3,2.6,5.5
1,Narva,2024,1,4,00:00,2024-01-04T00:00,-1,-25.9,2.8,4.6
1,Narva,2024,1,4,01:00,2024-01-04T01:00,-1,-26.2,2.6,4.6
1,Narva,2024,1,4,02:00,2024-01-04T02:00,-1,-26.4,3,5.5
1,Narva,2024,1,4,03:00,2024-01-04T03:00,-1,-26.4,3.2,5.5
1,Narva,2024,1,4,04:00,2024-01-04T04:00,-1,-26.9,2.9,5.2
1,Narva,2024,1,4,05:00,2024-01-04T05:00,-1,-27.3,2.6,5
1,Narva,2024,1,4,06:00,2024-01-04T06:00,-1,-27.0,3.1,5.1
1,Narva,2024,1,4,07:00,2024-01-04T07:00,-1,-26.6,3.1,5.4
1,Narva,2024,1,4,08:00,2024-01-04T08:00,14,-25.7,2.9,5.2
1,Narva,2024,1,4,09:00,2024-01-04T09:00,71,-25.0,2.6,5.3
1,Narva,2024,1,4,10:00,2024-01-04T10:00,114,-23.6,2.1,4.5
1,Narva,2024,1,4,11:00,2024-01-04T11:00,117,-22.6,2.8,4.6
1,Narva,2024,1,4,12:00,2024-01-04T12:00,89,-22.0,2.8,5.1
1,Narva,2024,1,4,13:00,2024-01-04T13:00,24,-22.0,3.2,6.2
1,Narva,2024,1,4,14:00,2024-01-04T14:00,0,-22.8,3.1,4.9
1,Narva,2024,1,4,15:00,2024-01-04T15:00,-1,-23.2,3,5.9
1,Narva,2024,1,4,16:00,2024-01-04T16:00,-1,-23.4,2.7,5.2
1,Narva,2024,1,4,17:00,2024-01-04T17:00,-1,-23.9,2.5,5.3
1,Narva,2024,1,4,18:00,2024-01-04T18:00,-1,-24.0,2.7,4.5
1,Narva,2024,1,4,19:00,2024-01-04T19:00,-1,-23.6,2.9,5.2
1,Narva,2024,1,4,20:00,2024-01-04T20:00,-1,-23.3,2.8,5.9
1,Narva,2024,1,4,21:00,2024-01-04T21:00,-1,-23.7,2.6,5
1,Narva,2024,1,4,22:00,2024-01-04T22:00,-1,-23.1,3.1,5.3
1,Narva,2024,1,4,23:00,2024-01-04T23:00,-1,-23.2,2.4,5.6
1,Narva,2024,1,5,00:00,2024-01-05T00:00,-1,-23.1,2.8,5.4
1,Narva,2024,1,5,01:00,2024-01-05T01:00,-1,-22.8,2.8,5.4
1,Narva,2024,1,5,02:00,2024-01-05T02:00,-1,-22.3,3.5,5.6
1,Narva,2024,1,5,03:00,2024-01-05T03:00,-1,-21.8,3.1,5.6
1,Narva,2024,1,5,04:00,2024-01-05T04:00,-1,-21.5,3.5,5.6
1,Narva,2024,1,5,05:00,2024-01-05T05:00,-1,-21.3,3.2,6.4
1,Narva,2024,1,5,06:00,2024-01-05T06:00,-1,-21.1,3.4,5.8
