MTU (UTC),DateTime,Generation - Solar [MW] Day Ahead/ BZN|EE,Generation - Solar [MW] Intraday / BZN|EE,Generation - Solar [MW] Current / BZN|EE,Generation - Wind Offshore [MW] Day Ahead/ BZN|EE,Generation - Wind Offshore [MW] Intraday / BZN|EE,Generation - Wind Offshore [MW] Current / BZN|EE,Generation - Wind Onshore [MW] Day Ahead/ BZN|EE,Generation - Wind Onshore [MW] Intraday / BZN|EE,Generation - Wind Onshore [MW] Current / BZN|EE
01.01.2023 00:00 - 01.01.2023 01:00,01.01.2023 00:00,0,n/e,n/e,n/e,n/e,n/e,102,n/e,n/e
01.01.2023 01:00 - 01.01.2023 02:00,01.01.2023 01:00,0,n/e,n/e,n/e,n/e,n/e,86,n/e,n/e
01.01.2023 02:00 - 01.01.2023 03:00,01.01.2023 02:00,0,n/e,n/e,n/e,n/e,n/e,72,n/e,n/e
01.01.2023 03:00 - 01.01.2023 04:00,01.01.2023 03:00,0,n/e,n/e,n/e,n/e,n/e,60,n/e,n/e
01.01.2023 04:00 - 01.01.2023 05:00,01.01.2023 04:00,0,n/e,n/e,n/e,n/e,n/e,50,n/e,n/e
01.01.2023 05:00 - 01.01.2023 06:00,01.01.2023 05:00,1,n/e,n/e,n/e,n/e,n/e,43,n/e,n/e
01.01.2023 06:00 - 01.01.2023 07:00,01.01.2023 06:00,1,n/e,n/e,n/e,n/e,n/e,39,n/e,n/e
01.01.2023 07:00 - 01.01.2023 08:00,01.01.2023 07:00,2,n/e,n/e,n/e,n/e,n/e,38,n/e,n/e
01.01.2023 08:00 - 01.01.2023 09:00,01.01.2023 08:00,5,n/e,n/e,n/e,n/e,n/e,38,n/e,n/e
01.01.2023 09:00 - 01.01.2023 10:00,01.01.2023 09:00,9,n/e,n/e,n/e,n/e,n/e,37,n/e,n/e
01.01.2023 10:00 - 01.01.2023 11:00,01.01.2023 10:00,11,n/e,n/e,n/e,n/e,n/e,39,n/e,n/e
01.01.2023 11:00 - 01.01.2023 12:00,01.01.2023 11:00,9,n/e,n/e,n/e,n/e,n/e,42,n/e,n/e
01.01.2023 12:00 - 01.01.2023 13:00,01.01.2023 12:00,5,n/e,n/e,n/e,n/e,n/e,44,n/e,n/e
01.01.2023 13:00 - 01.01.2023 14:00,01.01.2023 13:00,2,n/e,n/e,n/e,n/e,n/e,46,n/e,n/e
01.01.2023 14:00 - 01.01.2023 15:00,01.01.2023 14:00,1,n/e,n/e,n/e,n/e,n/e,47,n/e,n/e
01.01.2023 15:00 - 01.01.2023 16:00,01.01.2023 15:00,1,n/e,n/e,n/e,n/e,n/e,50,n/e,n/e
01.01.2023 16:00 - 01.01.2023 17:00,01.01.2023 16:00,1,n/e,n/e,n/e,n/e,n/e,55,n/e,n/e
01.01.2023 17:00 - 01.01.2023 18:00,01.01.2023 17:00,1,n/e,n/e,n/e,n/e,n/e,64,n/e,n/e
01.01.2023 18:00 - 01.01.2023 19:00,01.01.2023 18:00,1,n/e,n/e,n/e,n/e,n/e,70,n/e,n/e
01.01.2023 19:00 - 01.01.2023 20:00,01.01.2023 19:00,0,n/e,n/e,n/e,n/e,n/e,72,n/e,n/e
01.01.2023 20:00 - 01.01.2023 21:00,01.01.2023 20:00,0,n/e,n/e,n/e,n/e,n/e,71,n/e,n/e
01.01.2023 21:00 - 01.01.2023 22:00,01.01.2023 21:00,0,n/e,n/e,n/e,n/e,n/e,67,n/e,n/e
01.01.2023 22:00 - 01.01.2023 23:00,01.01.2023 22:00,0,n/e,n/e,n/e,n/e,n/e,65,n/e,n/e
01.01.2023 23:00 - 02.01.2023 00:00,01.01.2023 23:00,0,n/e,n/e,n/e,n/e,n/e,68,n/e,n/e
02.01.2023 00:00 - 02.01.2023 01:00,02.01.2023 00:00,0,n/e,n/e,n/e,n/e,n/e,63,n/e,n/e
02.01.2023 01:00 - 02.01.2023 02:00,02.01.2023 01:00,0,n/e,n/e,n/e,n/e,n/e,59,n/e,n/e
02.01.2023 02:00 - 02.01.2023 03:00,02.01.2023 02:00,0,n/e,n/e,n/e,n/e,n/e,54,n/e,n/e
02.01.2023 03:00 - 02.01.2023 04:00,02.01.2023 03:00,0,n/e,n/e,n/e,n/e,n/e,48,n/e,n/e
02.01.2023 04:00 - 02.01.2023 05:00,02.01.2023 04:00,0,n/e,n/e,n/e,n/e,n/e,42,n/e,n/e
02.01.2023 05:00 - 02.01.2023 06:00,02.01.2023 05:00,0,n/e,n/e,n/e,n/e,n/e,37,n/e,n/e
