"hour","day","solar","wind","load","cable","price","holiday","mon","tue","wed","thu","fri","sat","sun","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
0,1,0,102,788,1,1.38,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,86,794,1,0.09,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,1,0,72,809,1,0.08,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,60,820,1,0.05,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4,1,0,50,855,1,0.08,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5,1,1,43,889,1,0.09,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6,1,1,39,929,1,0.53,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7,1,2,38,974,1,2.03,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8,1,5,38,1019,1,3.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9,1,9,37,1017,1,4.43,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10,1,11,39,1013,1,6.06,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,1,9,42,1014,1,6.06,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
12,1,5,44,1006,1,5.68,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
13,1,2,46,1020,1,17.71,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14,1,1,47,1051,1,24.11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
15,1,1,50,1051,1,36.54,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
16,1,1,55,1039,1,46.03,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
17,1,1,64,1007,1,54.23,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
18,1,1,70,987,1,53.63,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
19,1,0,72,963,1,48.05,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20,1,0,71,913,1,44.68,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
21,1,0,67,855,1,45.96,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
22,1,0,65,895,1,35,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
23,1,0,68,845,1,57.91,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,2,0,63,827,1,51.67,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2,0,59,822,1,52.86,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2,0,54,820,1,44.16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2,0,48,840,1,50.08,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,2,0,42,900,1,70.73,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2,0,37,985,1,105.08,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,2,1,35,1065,1,138.19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2,3,36,1102,1,145.98,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2,10,39,1106,1,147.05,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2,16,45,1092,1,145.61,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2,17,51,1084,1,143.35,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2,11,52,1091,1,144.38,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2,5,53,1076,1,143.76,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2,2,58,1095,1,148.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2,0,60,1099,1,155.34,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2,0,65,1089,1,162.89,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,2,0,64,1067,1,170,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,2,0,70,1033,1,174.74,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,2,0,67,996,1,164.46,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,2,0,67,967,1,153,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2,0,65,928,1,141.67,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,2,0,63,873,1,131.67,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,2,0,64,830,1,118.06,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,2,0,88,856,1,78.81,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,3,0,103,844,1,73.93,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,3,0,115,830,1,73.94,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
