"","DateTime","Solar","Wind","hour","day"
"1",2023-01-01,0,102,0,1
"2",2023-01-01 01:00:00,0,86,1,1
"3",2023-01-01 02:00:00,0,72,2,1
"4",2023-01-01 03:00:00,0,60,3,1
"5",2023-01-01 04:00:00,0,50,4,1
"6",2023-01-01 05:00:00,1,43,5,1
"7",2023-01-01 06:00:00,1,39,6,1
"8",2023-01-01 07:00:00,2,38,7,1
"9",2023-01-01 08:00:00,5,38,8,1
"10",2023-01-01 09:00:00,9,37,9,1
"11",2023-01-01 10:00:00,11,39,10,1
"12",2023-01-01 11:00:00,9,42,11,1
"13",2023-01-01 12:00:00,5,44,12,1
"14",2023-01-01 13:00:00,2,46,13,1
"15",2023-01-01 14:00:00,1,47,14,1
"16",2023-01-01 15:00:00,1,50,15,1
"17",2023-01-01 16:00:00,1,55,16,1
"18",2023-01-01 17:00:00,1,64,17,1
"19",2023-01-01 18:00:00,1,70,18,1
"20",2023-01-01 19:00:00,0,72,19,1
"21",2023-01-01 20:00:00,0,71,20,1
"22",2023-01-01 21:00:00,0,67,21,1
"23",2023-01-01 22:00:00,0,65,22,1
"24",2023-01-01 23:00:00,0,68,23,1
"25",2023-01-02,0,63,0,2
"26",2023-01-02 01:00:00,0,59,1,2
"27",2023-01-02 02:00:00,0,54,2,2
"28",2023-01-02 03:00:00,0,48,3,2
"29",2023-01-02 04:00:00,0,42,4,2
"30",2023-01-02 05:00:00,0,37,5,2
"31",2023-01-02 06:00:00,1,35,6,2
"32",2023-01-02 07:00:00,3,36,7,2
"33",2023-01-02 08:00:00,10,39,8,2
"34",2023-01-02 09:00:00,16,45,9,2
"35",2023-01-02 10:00:00,17,51,10,2
"36",2023-01-02 11:00:00,11,52,11,2
"37",2023-01-02 12:00:00,5,53,12,2
"38",2023-01-02 13:00:00,2,58,13,2
"39",2023-01-02 14:00:00,0,60,14,2
"40",2023-01-02 15:00:00,0,65,15,2
"41",2023-01-02 16:00:00,0,64,16,2
"42",2023-01-02 17:00:00,0,70,17,2
"43",2023-01-02 18:00:00,0,67,18,2
"44",2023-01-02 19:00:00,0,67,19,2
"45",2023-01-02 20:00:00,0,65,20,2
"46",2023-01-02 21:00:00,0,63,21,2
"47",2023-01-02 22:00:00,0,64,22,2
"48",2023-01-02 23:00:00,0,88,23,2
"49",2023-01-03,0,103,0,3
"50",2023-01-03 01:00:00,0,115,1,3
"51",2023-01-03 02:00:00,0,139,2,3
"52",2023-01-03 03:00:00,0,156,3,3
"53",2023-01-03 04:00:00,0,159,4,3
"54",2023-01-03 05:00:00,0,156,5,3
"55",2023-01-03 06:00:00,1,149,6,3
"56",2023-01-03 07:00:00,2,139,7,3
"57",2023-01-03 08:00:00,3,130,8,3
"58",2023-01-03 09:00:00,6,123,9,3
"59",2023-01-03 10:00:00,6,119,10,3
"60",2023-01-03 11:00:00,5,116,11,3
