"","DateTime","Load","hour","day"
"1",2023-01-01,788,"0",1
"2",2023-01-01 01:00:00,794,"1",1
"3",2023-01-01 02:00:00,809,"2",1
"4",2023-01-01 03:00:00,820,"3",1
"5",2023-01-01 04:00:00,855,"4",1
"6",2023-01-01 05:00:00,889,"5",1
"7",2023-01-01 06:00:00,929,"6",1
"8",2023-01-01 07:00:00,974,"7",1
"9",2023-01-01 08:00:00,1019,"8",1
"10",2023-01-01 09:00:00,1017,"9",1
"11",2023-01-01 10:00:00,1013,"10",1
"12",2023-01-01 11:00:00,1014,"11",1
"13",2023-01-01 12:00:00,1006,"12",1
"14",2023-01-01 13:00:00,1020,"13",1
"15",2023-01-01 14:00:00,1051,"14",1
"16",2023-01-01 15:00:00,1051,"15",1
"17",2023-01-01 16:00:00,1039,"16",1
"18",2023-01-01 17:00:00,1007,"17",1
"19",2023-01-01 18:00:00,987,"18",1
"20",2023-01-01 19:00:00,963,"19",1
"21",2023-01-01 20:00:00,913,"20",1
"22",2023-01-01 21:00:00,855,"21",1
"23",2023-01-01 22:00:00,895,"22",1
"24",2023-01-01 23:00:00,845,"23",1
"25",2023-01-02,827,"0",2
"26",2023-01-02 01:00:00,822,"1",2
"27",2023-01-02 02:00:00,820,"2",2
"28",2023-01-02 03:00:00,840,"3",2
"29",2023-01-02 04:00:00,900,"4",2
"30",2023-01-02 05:00:00,985,"5",2
"31",2023-01-02 06:00:00,1065,"6",2
"32",2023-01-02 07:00:00,1102,"7",2
"33",2023-01-02 08:00:00,1106,"8",2
"34",2023-01-02 09:00:00,1092,"9",2
"35",2023-01-02 10:00:00,1084,"10",2
"36",2023-01-02 11:00:00,1091,"11",2
"37",2023-01-02 12:00:00,1076,"12",2
"38",2023-01-02 13:00:00,1095,"13",2
"39",2023-01-02 14:00:00,1099,"14",2
"40",2023-01-02 15:00:00,1089,"15",2
"41",2023-01-02 16:00:00,1067,"16",2
"42",2023-01-02 17:00:00,1033,"17",2
"43",2023-01-02 18:00:00,996,"18",2
"44",2023-01-02 19:00:00,967,"19",2
"45",2023-01-02 20:00:00,928,"20",2
"46",2023-01-02 21:00:00,873,"21",2
"47",2023-01-02 22:00:00,830,"22",2
"48",2023-01-02 23:00:00,856,"23",2
"49",2023-01-03,844,"0",3
"50",2023-01-03 01:00:00,830,"1",3
"51",2023-01-03 02:00:00,838,"2",3
"52",2023-01-03 03:00:00,862,"3",3
"53",2023-01-03 04:00:00,921,"4",3
"54",2023-01-03 05:00:00,1004,"5",3
"55",2023-01-03 06:00:00,1075,"6",3
"56",2023-01-03 07:00:00,1112,"7",3
"57",2023-01-03 08:00:00,1130,"8",3
"58",2023-01-03 09:00:00,1131,"9",3
"59",2023-01-03 10:00:00,1119,"10",3
"60",2023-01-03 11:00:00,1132,"11",3
"61",2023-01-03 12:00:00,1132,"12",3
"62",2023-01-03 13:00:00,1134,"13",3
"63",2023-01-03 14:00:00,1155,"14",3
"64",2023-01-03 15:00:00,1156,"15",3
"65",2023-01-03 16:00:00,1132,"16",3
"66",2023-01-03 17:00:00,1109,"17",3
"67",2023-01-03 18:00:00,1080,"18",3
"68",2023-01-03 19:00:00,1049,"19",3
"69",2023-01-03 20:00:00,993,"20",3
"70",2023-01-03 21:00:00,938,"21",3
"71",2023-01-03 22:00:00,916,"22",3
"72",2023-01-03 23:00:00,846,"23",3
"73",2023-01-04,827,"0",4
"74",2023-01-04 01:00:00,835,"1",4
"75",2023-01-04 02:00:00,842,"2",4
"76",2023-01-04 03:00:00,873,"3",4
"77",2023-01-04 04:00:00,942,"4",4
"78",2023-01-04 05:00:00,1039,"5",4
"79",2023-01-04 06:00:00,1130,"6",4
"80",2023-01-04 07:00:00,1172,"7",4
"81",2023-01-04 08:00:00,1205,"8",4
"82",2023-01-04 09:00:00,1196,"9",4
"83",2023-01-04 10:00:00,1169,"10",4
"84",2023-01-04 11:00:00,1182,"11",4
"85",2023-01-04 12:00:00,1172,"12",4
"86",2023-01-04 13:00:00,1170,"13",4
"87",2023-01-04 14:00:00,1171,"14",4
"88",2023-01-04 15:00:00,1163,"15",4
"89",2023-01-04 16:00:00,1144,"16",4
"90",2023-01-04 17:00:00,1108,"17",4
"91",2023-01-04 18:00:00,1079,"18",4
"92",2023-01-04 19:00:00,1033,"19",4
"93",2023-01-04 20:00:00,970,"20",4
"94",2023-01-04 21:00:00,908,"21",4
"95",2023-01-04 22:00:00,1079,"22",4
"96",2023-01-04 23:00:00,851,"23",4
"97",2023-01-05,839,"0",5
"98",2023-01-05 01:00:00,837,"1",5
"99",2023-01-05 02:00:00,853,"2",5
"100",2023-01-05 03:00:00,889,"3",5
"101",2023-01-05 04:00:00,957,"4",5
"102",2023-01-05 05:00:00,1038,"5",5
"103",2023-01-05 06:00:00,1119,"6",5
"104",2023-01-05 07:00:00,1149,"7",5
"105",2023-01-05 08:00:00,1164,"8",5
"106",2023-01-05 09:00:00,1167,"9",5
"107",2023-01-05 10:00:00,1159,"10",5
"108",2023-01-05 11:00:00,1172,"11",5
"109",2023-01-05 12:00:00,1171,"12",5
"110",2023-01-05 13:00:00,1180,"13",5
"111",2023-01-05 14:00:00,1202,"14",5
"112",2023-01-05 15:00:00,1195,"15",5
"113",2023-01-05 16:00:00,1181,"16",5
"114",2023-01-05 17:00:00,1160,"17",5
"115",2023-01-05 18:00:00,1145,"18",5
"116",2023-01-05 19:00:00,1099,"19",5
"117",2023-01-05 20:00:00,1050,"20",5
"118",2023-01-05 21:00:00,1001,"21",5
"119",2023-01-05 22:00:00,975,"22",5
"120",2023-01-05 23:00:00,933,"23",5
"121",2023-01-06,922,"0",6
"122",2023-01-06 01:00:00,926,"1",6
"123",2023-01-06 02:00:00,933,"2",6
"124",2023-01-06 03:00:00,964,"3",6
"125",2023-01-06 04:00:00,1044,"4",6
"126",2023-01-06 05:00:00,1125,"5",6
"127",2023-01-06 06:00:00,1205,"6",6
"128",2023-01-06 07:00:00,1250,"7",6
"129",2023-01-06 08:00:00,1282,"8",6
"130",2023-01-06 09:00:00,1287,"9",6
"131",2023-01-06 10:00:00,1292,"10",6
"132",2023-01-06 11:00:00,1302,"11",6
"133",2023-01-06 12:00:00,1280,"12",6
"134",2023-01-06 13:00:00,1279,"13",6
"135",2023-01-06 14:00:00,1293,"14",6
"136",2023-01-06 15:00:00,1292,"15",6
"137",2023-01-06 16:00:00,1264,"16",6
"138",2023-01-06 17:00:00,1229,"17",6
"139",2023-01-06 18:00:00,1206,"18",6
"140",2023-01-06 19:00:00,1164,"19",6
"141",2023-01-06 20:00:00,1106,"20",6
"142",2023-01-06 21:00:00,1039,"21",6
"143",2023-01-06 22:00:00,1035,"22",6
"144",2023-01-06 23:00:00,805,"23",6
"145",2023-01-07,793,"0",7
"146",2023-01-07 01:00:00,786,"1",7
"147",2023-01-07 02:00:00,796,"2",7
"148",2023-01-07 03:00:00,803,"3",7
"149",2023-01-07 04:00:00,805,"4",7
"150",2023-01-07 05:00:00,844,"5",7
"151",2023-01-07 06:00:00,894,"6",7
"152",2023-01-07 07:00:00,941,"7",7
"153",2023-01-07 08:00:00,978,"8",7
"154",2023-01-07 09:00:00,1000,"9",7
"155",2023-01-07 10:00:00,998,"10",7
"156",2023-01-07 11:00:00,1004,"11",7
"157",2023-01-07 12:00:00,1005,"12",7
"158",2023-01-07 13:00:00,1021,"13",7
"159",2023-01-07 14:00:00,1058,"14",7
"160",2023-01-07 15:00:00,1072,"15",7
"161",2023-01-07 16:00:00,1039,"16",7
"162",2023-01-07 17:00:00,990,"17",7
"163",2023-01-07 18:00:00,952,"18",7
"164",2023-01-07 19:00:00,921,"19",7
"165",2023-01-07 20:00:00,876,"20",7
"166",2023-01-07 21:00:00,871,"21",7
"167",2023-01-07 22:00:00,851,"22",7
"168",2023-01-07 23:00:00,844,"23",7
"169",2023-01-08,829,"0",8
"170",2023-01-08 01:00:00,818,"1",8
"171",2023-01-08 02:00:00,813,"2",8
"172",2023-01-08 03:00:00,817,"3",8
"173",2023-01-08 04:00:00,832,"4",8
"174",2023-01-08 05:00:00,855,"5",8
"175",2023-01-08 06:00:00,885,"6",8
"176",2023-01-08 07:00:00,917,"7",8
"177",2023-01-08 08:00:00,942,"8",8
"178",2023-01-08 09:00:00,965,"9",8
"179",2023-01-08 10:00:00,976,"10",8
"180",2023-01-08 11:00:00,982,"11",8
"181",2023-01-08 12:00:00,994,"12",8
"182",2023-01-08 13:00:00,1016,"13",8
"183",2023-01-08 14:00:00,1067,"14",8
"184",2023-01-08 15:00:00,1069,"15",8
"185",2023-01-08 16:00:00,1061,"16",8
"186",2023-01-08 17:00:00,1025,"17",8
"187",2023-01-08 18:00:00,1004,"18",8
"188",2023-01-08 19:00:00,986,"19",8
"189",2023-01-08 20:00:00,952,"20",8
"190",2023-01-08 21:00:00,904,"21",8
"191",2023-01-08 22:00:00,870,"22",8
"192",2023-01-08 23:00:00,1005,"23",8
