"","DateTime","Day-Ahead","hour","year","day"
"1",2023-01-01,1.38,0,2023,1
"2",2023-01-01 01:00:00,0.09,1,2023,1
"3",2023-01-01 02:00:00,0.08,2,2023,1
"4",2023-01-01 03:00:00,0.05,3,2023,1
"5",2023-01-01 04:00:00,0.08,4,2023,1
"6",2023-01-01 05:00:00,0.09,5,2023,1
"7",2023-01-01 06:00:00,0.53,6,2023,1
"8",2023-01-01 07:00:00,2.03,7,2023,1
"9",2023-01-01 08:00:00,3.1,8,2023,1
"10",2023-01-01 09:00:00,4.43,9,2023,1
"11",2023-01-01 10:00:00,6.06,10,2023,1
"12",2023-01-01 11:00:00,6.06,11,2023,1
"13",2023-01-01 12:00:00,5.68,12,2023,1
"14",2023-01-01 13:00:00,17.71,13,2023,1
"15",2023-01-01 14:00:00,24.11,14,2023,1
"16",2023-01-01 15:00:00,36.54,15,2023,1
"17",2023-01-01 16:00:00,46.03,16,2023,1
"18",2023-01-01 17:00:00,54.23,17,2023,1
"19",2023-01-01 18:00:00,53.63,18,2023,1
"20",2023-01-01 19:00:00,48.05,19,2023,1
"21",2023-01-01 20:00:00,44.68,20,2023,1
"22",2023-01-01 21:00:00,45.96,21,2023,1
"23",2023-01-01 22:00:00,35,22,2023,1
"24",2023-01-01 23:00:00,57.91,23,2023,1
"25",2023-01-02,51.67,0,2023,2
"26",2023-01-02 01:00:00,52.86,1,2023,2
"27",2023-01-02 02:00:00,44.16,2,2023,2
"28",2023-01-02 03:00:00,50.08,3,2023,2
"29",2023-01-02 04:00:00,70.73,4,2023,2
"30",2023-01-02 05:00:00,105.08,5,2023,2
"31",2023-01-02 06:00:00,138.19,6,2023,2
"32",2023-01-02 07:00:00,145.98,7,2023,2
"33",2023-01-02 08:00:00,147.05,8,2023,2
"34",2023-01-02 09:00:00,145.61,9,2023,2
"35",2023-01-02 10:00:00,143.35,10,2023,2
"36",2023-01-02 11:00:00,144.38,11,2023,2
"37",2023-01-02 12:00:00,143.76,12,2023,2
"38",2023-01-02 13:00:00,148.2,13,2023,2
"39",2023-01-02 14:00:00,155.34,14,2023,2
"40",2023-01-02 15:00:00,162.89,15,2023,2
"41",2023-01-02 16:00:00,170,16,2023,2
"42",2023-01-02 17:00:00,174.74,17,2023,2
"43",2023-01-02 18:00:00,164.46,18,2023,2
"44",2023-01-02 19:00:00,153,19,2023,2
"45",2023-01-02 20:00:00,141.67,20,2023,2
"46",2023-01-02 21:00:00,131.67,21,2023,2
"47",2023-01-02 22:00:00,118.06,22,2023,2
"48",2023-01-02 23:00:00,78.81,23,2023,2
"49",2023-01-03,73.93,0,2023,3
"50",2023-01-03 01:00:00,73.94,1,2023,3
"51",2023-01-03 02:00:00,71.44,2,2023,3
"52",2023-01-03 03:00:00,72.33,3,2023,3
"53",2023-01-03 04:00:00,77.14,4,2023,3
"54",2023-01-03 05:00:00,102.48,5,2023,3
"55",2023-01-03 06:00:00,154.96,6,2023,3
"56",2023-01-03 07:00:00,163.92,7,2023,3
"57",2023-01-03 08:00:00,167.07,8,2023,3
"58",2023-01-03 09:00:00,168.57,9,2023,3
"59",2023-01-03 10:00:00,169.49,10,2023,3
"60",2023-01-03 11:00:00,164.5,11,2023,3
"61",2023-01-03 12:00:00,160.91,12,2023,3
"62",2023-01-03 13:00:00,163.06,13,2023,3
"63",2023-01-03 14:00:00,167.73,14,2023,3
"64",2023-01-03 15:00:00,166.61,15,2023,3
"65",2023-01-03 16:00:00,170.72,16,2023,3
"66",2023-01-03 17:00:00,168.93,17,2023,3
"67",2023-01-03 18:00:00,160.99,18,2023,3
"68",2023-01-03 19:00:00,149.62,19,2023,3
"69",2023-01-03 20:00:00,131.05,20,2023,3
"70",2023-01-03 21:00:00,114.27,21,2023,3
"71",2023-01-03 22:00:00,93.66,22,2023,3
"72",2023-01-03 23:00:00,82.88,23,2023,3
"73",2023-01-04,78.84,0,2023,4
"74",2023-01-04 01:00:00,69.93,1,2023,4
"75",2023-01-04 02:00:00,69.26,2,2023,4
"76",2023-01-04 03:00:00,71.75,3,2023,4
"77",2023-01-04 04:00:00,81.73,4,2023,4
"78",2023-01-04 05:00:00,112.76,5,2023,4
"79",2023-01-04 06:00:00,126.72,6,2023,4
"80",2023-01-04 07:00:00,127.91,7,2023,4
"81",2023-01-04 08:00:00,127.92,8,2023,4
"82",2023-01-04 09:00:00,125.08,9,2023,4
"83",2023-01-04 10:00:00,138.88,10,2023,4
"84",2023-01-04 11:00:00,135.8,11,2023,4
"85",2023-01-04 12:00:00,136.74,12,2023,4
"86",2023-01-04 13:00:00,130.08,13,2023,4
"87",2023-01-04 14:00:00,130.05,14,2023,4
"88",2023-01-04 15:00:00,125.07,15,2023,4
"89",2023-01-04 16:00:00,133.44,16,2023,4
"90",2023-01-04 17:00:00,125.01,17,2023,4
"91",2023-01-04 18:00:00,119.88,18,2023,4
"92",2023-01-04 19:00:00,64.56,19,2023,4
"93",2023-01-04 20:00:00,57.26,20,2023,4
"94",2023-01-04 21:00:00,37.94,21,2023,4
"95",2023-01-04 22:00:00,30.82,22,2023,4
"96",2023-01-04 23:00:00,30.03,23,2023,4
"97",2023-01-05,28.15,0,2023,5
"98",2023-01-05 01:00:00,27.68,1,2023,5
"99",2023-01-05 02:00:00,27.76,2,2023,5
"100",2023-01-05 03:00:00,28.63,3,2023,5
"101",2023-01-05 04:00:00,39.8,4,2023,5
"102",2023-01-05 05:00:00,62.7,5,2023,5
"103",2023-01-05 06:00:00,85.53,6,2023,5
"104",2023-01-05 07:00:00,93.54,7,2023,5
"105",2023-01-05 08:00:00,107.92,8,2023,5
"106",2023-01-05 09:00:00,128.75,9,2023,5
"107",2023-01-05 10:00:00,139.64,10,2023,5
"108",2023-01-05 11:00:00,139.99,11,2023,5
"109",2023-01-05 12:00:00,142.58,12,2023,5
"110",2023-01-05 13:00:00,149.4,13,2023,5
"111",2023-01-05 14:00:00,155.2,14,2023,5
"112",2023-01-05 15:00:00,168.59,15,2023,5
"113",2023-01-05 16:00:00,190.03,16,2023,5
"114",2023-01-05 17:00:00,190,17,2023,5
"115",2023-01-05 18:00:00,173.71,18,2023,5
"116",2023-01-05 19:00:00,160.05,19,2023,5
"117",2023-01-05 20:00:00,148.62,20,2023,5
"118",2023-01-05 21:00:00,141.17,21,2023,5
"119",2023-01-05 22:00:00,127,22,2023,5
"120",2023-01-05 23:00:00,107.21,23,2023,5
"121",2023-01-06,101.1,0,2023,6
"122",2023-01-06 01:00:00,96.73,1,2023,6
"123",2023-01-06 02:00:00,82.34,2,2023,6
"124",2023-01-06 03:00:00,81.93,3,2023,6
"125",2023-01-06 04:00:00,98.11,4,2023,6
"126",2023-01-06 05:00:00,100.72,5,2023,6
"127",2023-01-06 06:00:00,128.3,6,2023,6
"128",2023-01-06 07:00:00,135.57,7,2023,6
"129",2023-01-06 08:00:00,126.91,8,2023,6
"130",2023-01-06 09:00:00,123.17,9,2023,6
"131",2023-01-06 10:00:00,116.12,10,2023,6
"132",2023-01-06 11:00:00,116.83,11,2023,6
"133",2023-01-06 12:00:00,106.79,12,2023,6
"134",2023-01-06 13:00:00,127.54,13,2023,6
"135",2023-01-06 14:00:00,131.27,14,2023,6
"136",2023-01-06 15:00:00,135.62,15,2023,6
"137",2023-01-06 16:00:00,150.72,16,2023,6
"138",2023-01-06 17:00:00,142.11,17,2023,6
"139",2023-01-06 18:00:00,119.92,18,2023,6
"140",2023-01-06 19:00:00,107.22,19,2023,6
"141",2023-01-06 20:00:00,101.02,20,2023,6
"142",2023-01-06 21:00:00,74.25,21,2023,6
"143",2023-01-06 22:00:00,71.74,22,2023,6
"144",2023-01-06 23:00:00,71.67,23,2023,6
"145",2023-01-07,69.93,0,2023,7
"146",2023-01-07 01:00:00,69.94,1,2023,7
"147",2023-01-07 02:00:00,70.95,2,2023,7
"148",2023-01-07 03:00:00,73.83,3,2023,7
"149",2023-01-07 04:00:00,75.26,4,2023,7
"150",2023-01-07 05:00:00,81.83,5,2023,7
"151",2023-01-07 06:00:00,75.97,6,2023,7
"152",2023-01-07 07:00:00,104.86,7,2023,7
"153",2023-01-07 08:00:00,137.07,8,2023,7
"154",2023-01-07 09:00:00,126.68,9,2023,7
"155",2023-01-07 10:00:00,137.83,10,2023,7
"156",2023-01-07 11:00:00,121.52,11,2023,7
"157",2023-01-07 12:00:00,95.22,12,2023,7
"158",2023-01-07 13:00:00,95.27,13,2023,7
"159",2023-01-07 14:00:00,139.85,14,2023,7
"160",2023-01-07 15:00:00,161.63,15,2023,7
"161",2023-01-07 16:00:00,110.71,16,2023,7
"162",2023-01-07 17:00:00,104.88,17,2023,7
"163",2023-01-07 18:00:00,143.98,18,2023,7
"164",2023-01-07 19:00:00,95.22,19,2023,7
"165",2023-01-07 20:00:00,59.99,20,2023,7
"166",2023-01-07 21:00:00,48.8,21,2023,7
"167",2023-01-07 22:00:00,35.9,22,2023,7
"168",2023-01-07 23:00:00,24.44,23,2023,7
"169",2023-01-08,52.5,0,2023,8
"170",2023-01-08 01:00:00,46.16,1,2023,8
"171",2023-01-08 02:00:00,34.41,2,2023,8
"172",2023-01-08 03:00:00,44.38,3,2023,8
"173",2023-01-08 04:00:00,9.92,4,2023,8
"174",2023-01-08 05:00:00,49.71,5,2023,8
"175",2023-01-08 06:00:00,57.67,6,2023,8
"176",2023-01-08 07:00:00,75.53,7,2023,8
"177",2023-01-08 08:00:00,95.76,8,2023,8
"178",2023-01-08 09:00:00,98.53,9,2023,8
"179",2023-01-08 10:00:00,47,10,2023,8
"180",2023-01-08 11:00:00,47,11,2023,8
"181",2023-01-08 12:00:00,48.96,12,2023,8
"182",2023-01-08 13:00:00,54.91,13,2023,8
"183",2023-01-08 14:00:00,63.49,14,2023,8
"184",2023-01-08 15:00:00,66.11,15,2023,8
"185",2023-01-08 16:00:00,69.19,16,2023,8
"186",2023-01-08 17:00:00,69.91,17,2023,8
"187",2023-01-08 18:00:00,65.62,18,2023,8
"188",2023-01-08 19:00:00,60.98,19,2023,8
"189",2023-01-08 20:00:00,57.41,20,2023,8
"190",2023-01-08 21:00:00,50.02,21,2023,8
"191",2023-01-08 22:00:00,46.29,22,2023,8
"192",2023-01-08 23:00:00,69.04,23,2023,8
"193",2023-01-09,64.38,0,2023,9
"194",2023-01-09 01:00:00,60.28,1,2023,9
"195",2023-01-09 02:00:00,39.41,2,2023,9
"196",2023-01-09 03:00:00,47.34,3,2023,9
"197",2023-01-09 04:00:00,73.11,4,2023,9
"198",2023-01-09 05:00:00,112.29,5,2023,9
"199",2023-01-09 06:00:00,156.16,6,2023,9
"200",2023-01-09 07:00:00,175.68,7,2023,9
"201",2023-01-09 08:00:00,172.89,8,2023,9
"202",2023-01-09 09:00:00,155.25,9,2023,9
"203",2023-01-09 10:00:00,156.71,10,2023,9
"204",2023-01-09 11:00:00,140.1,11,2023,9
"205",2023-01-09 12:00:00,140.06,12,2023,9
"206",2023-01-09 13:00:00,146.44,13,2023,9
"207",2023-01-09 14:00:00,147.4,14,2023,9
"208",2023-01-09 15:00:00,158.08,15,2023,9
"209",2023-01-09 16:00:00,153.07,16,2023,9
"210",2023-01-09 17:00:00,104.08,17,2023,9
"211",2023-01-09 18:00:00,104.04,18,2023,9
"212",2023-01-09 19:00:00,104.07,19,2023,9
"213",2023-01-09 20:00:00,93.82,20,2023,9
"214",2023-01-09 21:00:00,83.84,21,2023,9
"215",2023-01-09 22:00:00,80.59,22,2023,9
"216",2023-01-09 23:00:00,76.05,23,2023,9
"217",2023-01-10,79.95,0,2023,10
"218",2023-01-10 01:00:00,78.82,1,2023,10
"219",2023-01-10 02:00:00,80.06,2,2023,10
"220",2023-01-10 03:00:00,83.16,3,2023,10
"221",2023-01-10 04:00:00,104.63,4,2023,10
"222",2023-01-10 05:00:00,117.8,5,2023,10
"223",2023-01-10 06:00:00,149.4,6,2023,10
"224",2023-01-10 07:00:00,169.15,7,2023,10
"225",2023-01-10 08:00:00,156.57,8,2023,10
"226",2023-01-10 09:00:00,149.38,9,2023,10
"227",2023-01-10 10:00:00,142.94,10,2023,10
