date_col,id_type_compteur,old_index,new_index,quantite_consommee,id_appareil_old_hash,id_appareil_new_hash
15:00.0,1_2,44837.699,44837.746,0.048999999,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
30:00.0,1_2,44837.746,44837.809,0.059999999,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
45:00.0,1_2,44837.809,44837.863,0.057,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
00:00.0,1_2,44837.863,44837.91,0.046,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
15:00.0,1_2,44837.91,44837.945,0.037,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
30:00.0,1_2,44837.945,44837.984,0.037,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
45:00.0,1_2,44837.984,44838.039,0.054000001,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
00:00.0,1_2,44838.039,44838.098,0.059,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
15:00.0,1_2,44838.098,44838.152,0.057,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
30:00.0,1_2,44838.152,44838.203,0.048,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
45:00.0,1_2,44838.203,44838.254,0.052000001,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
00:00.0,1_2,44838.254,44838.293,0.039999999,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
15:00.0,1_2,44838.293,44838.34,0.045000002,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
30:00.0,1_2,44838.34,44838.375,0.035,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
45:00.0,1_2,44838.375,44838.441,0.066,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
00:00.0,1_2,44838.441,44838.484,0.044,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
15:00.0,1_2,44838.484,44838.535,0.050999999,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
30:00.0,1_2,44838.535,44838.586,0.052000001,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
45:00.0,1_2,44838.586,44838.637,0.048,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
00:00.0,1_2,44838.637,44838.672,0.037,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
15:00.0,1_2,44838.672,44838.723,0.048999999,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
30:00.0,1_2,44838.723,44838.781,0.061999999,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
45:00.0,1_2,44838.781,44838.832,0.050000001,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
00:00.0,1_2,44838.832,44838.883,0.050999999,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
15:00.0,1_2,44838.883,44838.934,0.048999999,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
30:00.0,1_2,44838.934,44839,0.066,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
45:00.0,1_2,44839,44839.047,0.048,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
00:00.0,1_2,44839.047,44839.086,0.039999999,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
15:00.0,1_2,44839.086,44839.109,0.024,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
30:00.0,1_2,44839.109,44839.172,0.059999999,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
45:00.0,1_2,44839.172,44839.219,0.048999999,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
00:00.0,1_2,44839.219,44839.285,0.067000002,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
15:00.0,1_2,44839.285,44839.34,0.052000001,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
30:00.0,1_2,44839.34,44839.391,0.052000001,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
45:00.0,1_2,44839.391,44839.434,0.044,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
00:00.0,1_2,44839.434,44839.477,0.039999999,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
15:00.0,1_2,44839.477,44839.523,0.050000001,ad79a1054480e72a2907bb35dd84921b91c88fcca33a746c83c60028967cadac,b7dfa7a2c9
