id_appareil,id_installation_hash,id_menage_hash,type_object,description,id_branche_activite,branche_activite,heat,auto,renew,localite,same_value,npa,i
00036becf9b71b88775a0e09e7525d9909a84a090f1cd6dd0f9598b918bd9fb6,a430cd7d1ab5f93025b580b773ca3f4e750c52182d0cad71078ef829bca47200,213124d881ea457674a2f6a4fb52a0772030606f6419d6ebba849a01b8fb43f9,Maison,POMPE A CHALEUR                                                       ,1,HABITATION                              ,Pompe à chaleur,Consommation,Aucun,LES BREULEUX                            ,0,2345,00036becf9b71b88775a0e09e7525d9909a84a090f1cd6dd0f9598b918bd9fb6
002a1a0cecc0ed44e39f0fb7be6e65594d20a979b90354d46493c69671d84064,f8ee0f89fe91ad7638d77eec002f23228248e4a3279e8237e938b2335400c640,f8ee0f89fe91ad7638d77eec002f23228248e4a3279e8237e938b2335400c640,Maison,ATELIER ET APPART                                                     ,1,HABITATION                              ,Autres,Consommation,Aucun,VILLERET                                ,1,2613,002a1a0cecc0ed44e39f0fb7be6e65594d20a979b90354d46493c69671d84064
00349c33fbc3baa12b74813c7394bc88b818f3626dd71c054c63cf93acfa3321,73e2a7e67c447367b2da2602f53f584504eb9cc5f0d31690b1839cd2b9e6f1a1,73e2a7e67c447367b2da2602f53f584504eb9cc5f0d31690b1839cd2b9e6f1a1,Appartement,REZ-DE-CHAUSSEE OUEST                                                 ,1,HABITATION                              ,Autres,Consommation,Aucun,LES BRENETS                             ,1,2416,00349c33fbc3baa12b74813c7394bc88b818f3626dd71c054c63cf93acfa3321
00389625810177b9bd8dd0bb5b956f7162f969e7b04ae1a8135c1a2d3ade3126,d74c148751de92c4426b818e29b564948975a364fd7a55f31bba948cfc673c97,d74c148751de92c4426b818e29b564948975a364fd7a55f31bba948cfc673c97,Appartement,APPART 1ER ETAGE                                                      ,1,HABITATION                              ,Autres,Consommation,Aucun,LA CHAUX DES BREULEUX                   ,1,2345,00389625810177b9bd8dd0bb5b956f7162f969e7b04ae1a8135c1a2d3ade3126
0048b828d854dfcdf4d48c4fd859ae5725f025f85b3568d4590a8e58e41606fb,4a6bf8777170619ba0743e623ca3df67d94f9e17cca76cb691332df59d34a65b,4a6bf8777170619ba0743e623ca3df67d94f9e17cca76cb691332df59d34a65b,22,ATELIER REZ NORD                                                      ,4,ARTISANAT                               ,Autres,Consommation,Aucun,LES BRENETS                             ,1,2416,0048b828d854dfcdf4d48c4fd859ae5725f025f85b3568d4590a8e58e41606fb
004b23dd124cedb92dfd76c16a40172c0aed440df87ec0291416acf5d668bcb5,60a4807f176840f7b0b770252a9b37b4df250352be1705a35383525835af6ae0,60a4807f176840f7b0b770252a9b37b4df250352be1705a35383525835af6ae0,Appartement,APPART 2EME ETAGE                                                     ,1,HABITATION                              ,Autres,Consommation,Aucun,COURTELARY                              ,1,2608,004b23dd124cedb92dfd76c16a40172c0aed440df87ec0291416acf5d668bcb5
004cb43970f688895c8094d07e17407af3165b7fd232395ba794290a158eb2ad,2af64e697f12ef2c3f0b418dc04d97ff1b6a7f5acbf00ab867a9f6ea442df435,b9bfe513849e52434fd5bb49b7fdc7a8361631aae6170d76d36a242dbac4b219,30,BATIMENT+GARAGE ANNEXE+PAC+                                           ,6,AUTOPRODUCTEUR                          ,Energie renouvelable,RCP - Communauté d'autoconsommation,Solaire,LES BOIS                                ,0,2336,004cb43970f688895c8094d07e17407af3165b7fd232395ba794290a158eb2ad
005050803bb77cc54286061900d29b8c50f15e15a3914ca9e8210066612ff10b,1a2bab8fad3254f485136fac209dc151d65f2cf6ece9f261d88107ca20b42d14,1a2bab8fad3254f485136fac209dc151d65f2cf6ece9f261d88107ca20b42d14,Maison,MAISON                                                                ,1,HABITATION                              ,Electricité,Consommation,Aucun,SONVILIER                               ,1,2615,005050803bb77cc54286061900d29b8c50f15e15a3914ca9e8210066612ff10b
005bbf1831d472d4d182d3826830c9c51c8fff6034f0e613abf6aa543f6627c4,6c2bbb656048c7826d4f907ef3842ceae3c0586fd2aac49ead87da837a6d1c09,6c2bbb656048c7826d4f907ef3842ceae3c0586fd2aac49ead87da837a6d1c09,18,ECLAIRAGE PUBLIC - CABINE 028                                         ,8,Transport : Eclairage public            ,Autres,Consommation,Aucun,VILLERET                                ,1,2613,005bbf1831d472d4d182d3826830c9c51c8fff6034f0e613abf6aa543f6627c4
0064c4803c4adaff9fcd1ce0456e93d2f3c4700bc606c2151d1b0a18e7ee8d84,50a8311b910996766207861d851a6c78654ce3e3bc91effba77956121a0d7c92,50a8311b910996766207861d851a6c78654ce3e3bc91effba77956121a0d7c92,Appartement,1ER ETAGE OUEST                                                       ,1,HABITATION                              ,Autres,Consommation,Aucun,LES BREULEUX                            ,1,2345,0064c4803c4adaff9fcd1ce0456e93d2f3c4700bc606c2151d1b0a18e7ee8d84
