"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"Soome";"Läti";"Venemaa(Leningrad)";"Venemaa(Pihkva)"
"1719784800";"01.07.2024 01:00";"-346,8";"121,5";"45,9";"106,5"
"1719785100";"01.07.2024 01:05";"-348,3";"240,3";"-31,4";"76"
"1719785400";"01.07.2024 01:10";"-348,6";"292,3";"-55,1";"61,7"
"1719785700";"01.07.2024 01:15";"-348,6";"298,8";"-47,9";"60,9"
"1719786000";"01.07.2024 01:20";"-348,5";"287,7";"-24,7";"71,8"
"1719786300";"01.07.2024 01:25";"-348,6";"278,1";"-4,6";"77,6"
"1719786600";"01.07.2024 01:30";"-348,8";"258,8";"13,7";"81,7"
"1719786900";"01.07.2024 01:35";"-348,7";"226,2";"56,8";"83,7"
"1719787200";"01.07.2024 01:40";"-348,7";"226,8";"62,9";"83,4"
"1719787500";"01.07.2024 01:45";"-348,7";"242,8";"54,3";"84"
"1719787800";"01.07.2024 01:50";"-348,6";"279,5";"16,5";"82,6"
"1719788100";"01.07.2024 01:55";"-348,7";"278,1";"12,2";"83,1"
"1719788400";"01.07.2024 02:00";"-348,7";"303,9";"-4,2";"78,1"
"1719788700";"01.07.2024 02:05";"-348,7";"324,2";"-18,8";"68,6"
"1719789000";"01.07.2024 02:10";"-348,7";"333,7";"-27";"63,7"
"1719789300";"01.07.2024 02:15";"-348,7";"327,1";"-29,6";"62,3"
"1719789600";"01.07.2024 02:20";"-348,7";"323,3";"-31,2";"63,8"
"1719789900";"01.07.2024 02:25";"-348,6";"322,5";"-18,4";"68,5"
"1719790200";"01.07.2024 02:30";"-348,6";"325,6";"-6";"70,7"
"1719790500";"01.07.2024 02:35";"-348,6";"322,8";"0";"69,8"
"1719790800";"01.07.2024 02:40";"-348,7";"331,6";"-5,7";"69,9"
"1719791100";"01.07.2024 02:45";"-348,6";"333,5";"-14,1";"69,2"
"1719791400";"01.07.2024 02:50";"-348,6";"330,8";"-15,8";"69,8"
"1719791700";"01.07.2024 02:55";"-348,7";"310,7";"4";"72,4"
"1719792000";"01.07.2024 03:00";"-348,6";"313,7";"2,1";"73,1"
"1719792300";"01.07.2024 03:05";"-348,7";"297";"9,3";"73,6"
"1719792600";"01.07.2024 03:10";"-348,6";"296,1";"9";"72,1"
"1719792900";"01.07.2024 03:15";"-348,7";"287,2";"14,6";"76"
"1719793200";"01.07.2024 03:20";"-348,7";"261,7";"34,6";"79,1"
"1719793500";"01.07.2024 03:25";"-348,7";"313,1";"3,1";"63,3"
"1719793800";"01.07.2024 03:30";"-348,8";"311,4";"0";"62,1"
"1719794100";"01.07.2024 03:35";"-348,6";"312,5";"0";"64,7"
"1719794400";"01.07.2024 03:40";"-348,6";"314,4";"3,7";"66,3"
"1719794700";"01.07.2024 03:45";"-348,6";"315,8";"8,8";"66,5"
"1719795000";"01.07.2024 03:50";"-348,7";"317,5";"11,5";"66,7"
"1719795300";"01.07.2024 03:55";"-348,6";"339,4";"-2,1";"62,4"
"1719795600";"01.07.2024 04:00";"-348,6";"342,8";"-4,9";"59,1"
"1719795900";"01.07.2024 04:05";"-348,5";"316,9";"2,4";"62,5"
"1719796200";"01.07.2024 04:10";"-348,6";"323,2";"-0,6";"61,2"
"1719796500";"01.07.2024 04:15";"-348,7";"307,9";"0";"62,5"
"1719796800";"01.07.2024 04:20";"-348,8";"307,1";"-6,2";"62,9"
"1719797100";"01.07.2024 04:25";"-348,6";"321,5";"-27,4";"60,2"
"1719797400";"01.07.2024 04:30";"-348,7";"312,1";"-15,3";"60,8"
"1719797700";"01.07.2024 04:35";"-348,6";"299,9";"-9,1";"62,3"
"1719798000";"01.07.2024 04:40";"-348,7";"293,8";"-17,6";"61,9"
