"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"Soome";"Läti";"Venemaa(Leningrad)";"Venemaa(Pihkva)"
"1738364400";"01.02.2025 01:00";"-350,7";"-181,5";"-184,5";"0"
"1738364700";"01.02.2025 01:05";"-350,7";"-184";"-170,3";"0"
"1738365000";"01.02.2025 01:10";"-350,7";"-239,6";"-108,1";"0"
"1738365300";"01.02.2025 01:15";"-350,7";"-252,9";"-83,3";"0"
"1738365600";"01.02.2025 01:20";"-350,6";"-242,8";"-91,2";"0"
"1738365900";"01.02.2025 01:25";"-350,6";"-222";"-108,1";"0"
"1738366200";"01.02.2025 01:30";"-350,6";"-208,1";"-119";"0"
"1738366500";"01.02.2025 01:35";"-350,6";"-219,7";"-100,7";"0"
"1738366800";"01.02.2025 01:40";"-350,6";"-215,4";"-101";"0"
"1738367100";"01.02.2025 01:45";"-350,6";"-216,9";"-87,4";"0"
"1738367400";"01.02.2025 01:50";"-350,6";"-180,1";"-105,6";"0"
"1738367700";"01.02.2025 01:55";"-350,6";"-163,6";"-66,3";"0"
"1738368000";"01.02.2025 02:00";"-350,6";"-153,7";"-30,9";"0"
"1738368300";"01.02.2025 02:05";"-350,7";"-125,7";"-57,6";"0"
"1738368600";"01.02.2025 02:10";"-350,5";"-142,8";"-42,6";"0"
"1738368900";"01.02.2025 02:15";"-350,7";"-151,1";"-38,7";"0"
"1738369200";"01.02.2025 02:20";"-350,8";"-114,1";"-105,9";"0"
"1738369500";"01.02.2025 02:25";"-350,7";"-94,5";"-146,1";"0"
"1738369800";"01.02.2025 02:30";"-350,7";"-80,2";"-166,3";"0"
"1738370100";"01.02.2025 02:35";"-350,7";"-91,5";"-154,2";"0"
"1738370400";"01.02.2025 02:40";"-350,7";"-100";"-145,5";"0"
"1738370700";"01.02.2025 02:45";"-350,7";"-90,8";"-151,8";"0"
"1738371000";"01.02.2025 02:50";"-350,7";"-84,4";"-143,9";"0"
"1738371300";"01.02.2025 02:55";"-350,6";"-84,4";"-129,8";"0"
"1738371600";"01.02.2025 03:00";"-350,6";"-77,9";"-119,6";"0"
"1738371900";"01.02.2025 03:05";"-350,7";"-74,4";"-127,5";"0"
"1738372200";"01.02.2025 03:10";"-350,7";"-67,6";"-124,8";"0"
"1738372500";"01.02.2025 03:15";"-350,6";"-41,1";"-147,1";"0"
"1738372800";"01.02.2025 03:20";"-350,7";"-39,9";"-146,1";"0"
"1738373100";"01.02.2025 03:25";"-350,7";"-31,3";"-148,2";"0"
"1738373400";"01.02.2025 03:30";"-350,6";"-34";"-142,2";"0"
"1738373700";"01.02.2025 03:35";"-350,6";"-61,5";"-122,4";"0"
"1738374000";"01.02.2025 03:40";"-350,7";"-70,8";"-124,5";"0"
"1738374300";"01.02.2025 03:45";"-350,7";"-83,3";"-133";"0"
"1738374600";"01.02.2025 03:50";"-350,7";"-103,9";"-120,8";"0"
